chr2	22589160	22590219	.	1000	.	10.74164	6312.37744	6304.08789	525
chr2	22589160	22590219	.	1000	.	9.34170	5016.48486	5009.11377	96
chr2	22587535	22588306	.	1000	.	8.42350	4210.79395	4203.91553	284
chr12	97061405	97061824	.	1000	.	41.23395	3259.38818	3253.09424	344
chr2	22587535	22588306	.	1000	.	7.16334	3176.71216	3170.45532	511
chr10	96077508	96077918	.	1000	.	51.03002	3079.15601	3072.94385	153
chr2	69355504	69355697	.	1000	.	48.34572	2903.55786	2897.41089	89
chr2	22589160	22590219	.	1000	.	6.55917	2717.43311	2711.34668	681
chr5	60042687	60043126	.	1000	.	45.59653	2592.39990	2586.34741	349
chr4	80002726	80003027	.	1000	.	34.85446	2265.56519	2259.61035	218
chr2	22588630	22589068	.	1000	.	5.43672	1909.85425	1904.01440	228
chr13	9011652	9011879	.	1000	.	41.76944	1890.79163	1884.95776	139
chr12	97061405	97061824	.	1000	.	27.64907	1878.77930	1872.94946	186
chr1	135205579	135205665	.	1000	.	42.78115	1800.88135	1795.07776	42
chr2	22589160	22590219	.	1000	.	5.17608	1737.29565	1731.51929	349
chr13	85126671	85127546	.	1000	.	37.77877	1712.89124	1707.12366	496
chr2	22588630	22589068	.	1000	.	4.88868	1550.28125	1544.56470	376
chr12	97061405	97061824	.	1000	.	22.25993	1380.53247	1374.86279	94
chr15	79973909	79974112	.	1000	.	49.54530	1281.57666	1275.93604	53
chr4	122122817	122123106	.	1000	.	47.78155	1168.95679	1163.34875	127
chr4	122455177	122455471	.	1000	.	45.95184	1109.65247	1104.06287	132
chr17	22876198	22876565	.	1000	.	37.69839	1104.79285	1099.20520	300
chr4	80003689	80004084	.	1000	.	19.64589	1013.63251	1008.07312	251
chr2	22587535	22588306	.	1000	.	3.94862	991.73926	986.18719	73
chr2	22589160	22590219	.	1000	.	3.94324	991.21692	985.66510	995
chr10	11491945	11492290	.	1000	.	41.97876	982.99426	977.44562	204
chr19	27286341	27286427	.	1000	.	40.09677	924.07117	918.54279	42
chrX	143482971	143483141	.	1000	.	34.45081	751.85156	746.39746	89
chrX	87238323	87238453	.	1000	.	34.34626	748.73108	743.27911	56
chr6	30538052	30538137	.	1000	.	34.24170	745.61334	740.16321	42
chrX	169996918	169998198	.	1000	.	10.92114	743.30200	737.85400	1000
chr8	3754365	3754749	.	1000	.	31.83694	674.65271	669.23785	82
chr1	194966884	194966993	.	1000	.	30.47773	635.20477	629.81140	65
chr16	91534551	91534743	.	1000	.	23.92733	621.36218	615.97705	124
chr15	85177717	85177817	.	1000	.	23.29074	606.36279	600.98749	48
chr9	123461765	123462219	.	1000	.	16.17636	590.31427	584.95026	283
chrX	76598462	76599168	.	1000	.	24.74305	589.54700	584.18347	543
chrX	76598462	76599168	.	1000	.	24.48881	582.02655	576.66870	633
chr9	123461765	123462219	.	1000	.	15.77786	568.51782	563.16986	394
chr9	3258546	3258964	.	1000	.	18.48796	567.66168	562.31421	308
chr18	85697892	85698323	.	1000	.	27.34108	546.13092	540.79797	228
chr17	70963624	70963927	.	1000	.	24.57103	537.11597	531.78937	61
chr4	80002726	80003027	.	1000	.	12.93278	535.28955	529.96423	64
chr19	8251901	8252707	.	1000	.	25.45910	494.10019	488.80591	357
chrX	4899334	4899475	.	1000	.	25.30226	489.81525	484.52426	51
chr2	22587535	22588306	.	1000	.	2.92025	485.82782	480.53970	718
chrX	170009014	170010212	.	1000	.	9.28203	480.55966	475.27563	264
chrX	169996918	169998198	.	1000	.	8.33232	474.67007	469.39044	905
chr2	22588630	22589068	.	1000	.	2.86837	463.90042	458.62921	57
chr11	115424709	115424845	.	1000	.	16.00032	455.46640	450.20248	90
chr17	22876198	22876565	.	1000	.	19.97056	452.28976	447.02960	215
chr6	121310434	121310539	.	1000	.	21.69903	435.12405	429.87946	52
chrX	169996918	169998198	.	1000	.	7.87551	434.02057	428.77716	260
chr16	18533158	18533360	.	1000	.	20.32821	428.34897	423.11151	108
chrX	169996918	169998198	.	1000	.	7.83572	426.73935	421.50345	731
chrX	170009014	170010212	.	1000	.	8.53195	418.00952	412.78287	166
chr18	85697892	85698323	.	1000	.	22.27017	408.62283	403.40399	368
chr13	85126671	85127546	.	1000	.	13.86159	403.42065	398.20673	688
chr17	64331320	64332451	.	1000	.	16.03731	400.14233	394.93106	854
chrX	170018484	170019689	.	1000	.	10.40971	397.66971	392.46085	338
chr3	62158649	62159522	.	1000	.	21.64285	392.23755	387.03452	694
chr11	3131991	3132636	.	1000	.	5.07443	391.66397	386.46152	368
chr16	17222180	17222547	.	1000	.	17.80790	389.15771	383.95834	187
chr9	4309132	4310151	.	1000	.	15.72944	388.22800	383.02975	624
chr10	58231797	58233454	.	1000	.	7.96535	384.42050	379.22745	736
chr4	88640802	88641434	.	1000	.	21.27690	382.74908	377.55783	334
chr10	96077508	96077918	.	1000	.	11.80663	381.56894	376.37933	360
chrX	170009014	170010212	.	1000	.	8.13271	381.24921	376.06000	854
chrX	170009014	170010212	.	1000	.	8.09834	379.03122	373.84454	564
chr9	123461765	123462219	.	1000	.	12.03125	374.23761	369.05634	117
chr8	4165878	4166628	.	1000	.	11.70560	360.82349	355.65811	418
chr8	57511284	57512415	.	1000	.	15.65263	360.43542	355.27042	444
chr4	3550637	3550753	.	1000	.	20.17908	354.60004	349.44379	58
chr11	11844285	11845001	.	1000	.	12.88945	353.95956	348.80438	434
chr6	122308450	122309072	.	1000	.	12.72596	350.68210	345.53247	251
chr3	79628618	79629720	.	1000	.	16.10035	344.97574	339.83478	345
chr5	45449736	45450690	.	1000	.	12.86450	343.64078	338.50217	748
chr14	61556252	61557467	.	1000	.	16.18900	343.55188	338.41336	607
chr17	56005833	56005937	.	1000	.	12.05168	341.82291	336.68698	51
chr11	3131991	3132636	.	1000	.	4.79154	341.27945	336.14456	201
chrX	170018484	170019689	.	1000	.	9.43017	338.43073	333.30023	590
chrX	170009014	170010212	.	1000	.	7.55787	337.65765	332.52805	491
chr12	78350835	78351205	.	1000	.	19.49947	337.42114	332.29181	61
chr17	70963624	70963927	.	1000	.	17.57856	335.68735	330.56046	237
chr6	9889900	9890184	.	1000	.	19.18581	329.55829	324.44034	84
chr6	122810640	122811593	.	1000	.	13.99626	325.32532	320.21411	446
chr10	58231797	58233454	.	1000	.	7.26921	324.40298	319.29285	644
chr3	79628618	79629720	.	1000	.	15.44647	323.48825	318.37964	214
chr16	64851246	64852772	.	1000	.	14.12477	321.73456	316.62891	653
chr9	4375971	4376986	.	1000	.	17.10080	321.16965	316.06473	462
chr13	90089017	90090109	.	1000	.	17.72998	318.67297	313.57199	639
chr16	58727542	58728450	.	1000	.	15.74098	316.43881	311.34113	356
chr12	105032163	105032772	.	1000	.	10.81120	315.01385	309.91824	359
chr2	3964455	3964652	.	1000	.	18.55848	313.96097	308.86676	117
chr3	5575752	5576733	.	1000	.	15.40606	311.31430	306.22446	661
chr13	85126671	85127546	.	1000	.	11.53758	310.44775	305.35962	73
chrX	76598462	76599168	.	1000	.	15.95514	309.92468	304.83743	206
